area,perimeter,mean,median,meanRGB,roundness,variance,stdDiv,label
13054,2090,97.0546875,120.0,159.6995152337637,26.62803381797564,2149.509209527486,46.36279984564657,cyl
101931,13550,80.28515625,97.0,143.8531794062989,143.33836339793447,156415.18521293093,395.49359693038133,cyl
101740,13508,80.296875,97.0,143.86475373508412,142.718576922165,156347.03286080982,395.407426410797,cyl
104637,12654,93.02734375,122.0,156.64634224618544,121.77566686565369,72622.81863488904,269.4862123279947,cyl
104571,12670,93.03515625,122.0,156.65176835754107,122.16086651224794,72583.99698602117,269.4141736917736,cyl
104726,12651,93.0234375,122.0,156.64183767972418,121.61449239032326,72698.85621820079,269.62725421997084,cyl
38253,6666,89.37109375,97.0,154.75364338810644,92.43900329956773,17112.27098569747,130.81387917838637,cyl
46900,8878,84.69140625,94.0,151.63996937353286,133.7357675648902,43732.04422893824,209.12207972602567,cyl
28602,5746,95.26953125,98.0,160.22833223298122,91.85969032012888,12132.740717333947,110.14872090648147,cyl
28536,5748,95.2734375,98.0,160.23026931117957,92.13625558775666,12103.076592381312,110.0139836219983,cyl
113090,9679,91.83203125,74.0,156.23748425885174,65.92147430820894,184041.63004609436,429.00073431882885,cyl
30736,5407,87.23046875,93.0,153.45085093896714,75.69296676291039,16370.952909636984,127.9490246529335,cyl
30750,5388,87.23046875,93.0,153.45425744571597,75.12771671945957,16289.414551281436,127.62999079872033,cyl
30773,5384,87.23046875,93.0,153.45430100132043,74.96014217103988,16311.170407335463,127.71519254707117,cyl
79354,7871,85.8515625,82.0,152.67110093285407,62.12710797658355,76585.23101016821,276.74036751108105,cyl
79374,7881,85.8515625,82.0,152.6724626185935,62.26937750008477,76594.72152290457,276.75751394118384,cyl
79374,7880,85.84765625,82.0,152.67005559834703,62.25357609749657,76600.86044216897,276.7686045095595,cyl
5632,1102,91.57421875,78.0,156.07589220217136,17.158948820185554,2951.9299129831206,54.33166584031011,cyl
30158,4683,85.91015625,104.0,151.51028370745306,57.867659141395926,15021.981178657821,122.56419207361431,cyl
30162,4724,85.921875,103.0,151.5215829482101,58.87755654977655,14984.326109931926,122.410482026385,cyl
30129,4723,85.93359375,103.0,151.53150674882627,58.9170929098432,14928.484504247526,122.18217752294123,cyl
30172,4688,85.92578125,104.0,151.52546168940728,57.96438641175606,14950.192297517187,122.27097896687172,cyl
22413,3435,92.453125,106.0,156.73328152508802,41.89320892793175,5889.960259177641,76.74607650673512,cyl
22552,3488,92.45703125,106.0,156.73591090815728,42.929717008864046,5898.035142789044,76.79866628261875,cyl
40133,5021,93.59375,96.0,158.19602085167253,49.988367461647336,13182.67148101829,114.8158154655459,cyl
40128,5018,93.59375,96.0,158.19586496845656,49.934871327445755,13173.611442376834,114.7763540210998,cyl
8189,1479,83.6640625,74.0,148.547509994865,21.25668872095974,3313.7988616102766,57.56560484881816,cyl
26184,5348,87.796875,90.0,154.22594202366977,86.92344713346664,16986.629269114666,130.33276360575903,cyl
55168,4546,87.70703125,66.0,152.70110310299296,29.809985099246916,54762.74023761842,234.01440177394727,cyl
86600,11789,83.79296875,108.0,149.89510817072573,127.71037477273076,14763.47905405325,121.50505773033997,cyl
69959,10659,86.08203125,106.0,151.80956267116588,129.2347977171029,14602.575206716501,120.84111554730245,cyl
7562,1325,84.6171875,77.0,150.15410049271324,18.475032859409467,2703.517489699354,51.99536027088719,cyl
63087,7734,85.77734375,115.0,149.2753791629988,75.4498873558388,24179.690241706612,155.4982001236883,cyl
104688,14269,90.62890625,126.0,155.82623911874023,154.76769299354615,16022.4065428366,126.57964505731796,cyl
104793,14247,90.61328125,126.0,155.8141031518975,154.1362224402304,16029.721226018004,126.60853536005384,cyl
104722,14251,90.6171875,126.0,155.81858020955596,154.32734624353554,16033.31934241876,126.62274417504447,cyl
104900,14207,90.6171875,126.0,155.81871775357004,153.1155887813568,16051.726507020718,126.69540838965206,cyl
84061,6423,89.28125,108.0,155.44943958455593,39.0545310979835,16157.154002169289,127.11079420005717,cyl
84079,6457,89.26953125,108.0,155.43812200459703,39.4606442151666,16215.947641688603,127.34185345631107,cyl
121936,13842,82.75390625,118.0,149.20244644953053,125.04199137979059,54927.14214383502,234.36540304369802,cyl
121971,13881,82.76171875,118.0,149.20907836340962,125.71151490427404,55422.57228893401,235.41999126865588,cyl
121721,13908,82.765625,118.0,149.21471079078637,126.46023611392076,54098.18425159649,232.59016370344747,cyl
121775,13929,82.7734375,118.0,149.21885315801055,126.78616760095638,53978.67585014388,232.33311397677232,cyl
36307,7861,84.07421875,114.0,149.3776523070716,135.4426253491118,10379.199947163492,101.87835858102295,cyl
17495,4176,86.44921875,93.0,151.33104933856612,79.3226416936533,3332.458927395299,57.72745384472884,cyl
31826,5021,83.52734375,107.0,149.72961521297927,63.03598162943168,5186.8044394501285,72.01947264073883,cyl
31911,5032,83.53515625,107.0,149.73800081303796,63.14383964382997,5150.706385318917,71.76842192300815,cyl
31659,5053,83.5390625,107.0,149.74151047779733,64.1787921818635,5170.017341142468,71.90283263643003,cyl
78830,9266,92.546875,107.0,157.6021768632629,86.67287469948577,21231.61548915826,145.71072537448387,cyl
12087,2709,81.49609375,82.0,147.4819924320227,48.315849959649775,3832.366005743585,61.90610636878712,cyl
